player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
4113526,Tushar Gupta,597867,Skarp Elva(Sharp Eleven) - SCL2020,3,2,3,2,1.50,0,75.00,4,RHB,0,0,0,0
4450184,Rahul Goud Godha ,597863,Simeio Spirits - SCL2020,1,1,2,2,2.00,0,66.67,3,RHB,0,0,0,0
4176615,Madan,597864,TNT - SCL2020,1,1,2,2,2.00,0,50.00,4,RHB,0,0,0,0
4114814,Shrikant Ware,597869,The Assassinators - SCL2020,4,1,2,2,-,1,22.22,9,RHB,0,0,0,0
4182873,Sowmya Sai,597864,TNT - SCL2020,3,3,2,1,2.00,2,22.22,9,RHB,0,0,0,0
4451569,Gunasundari Anandan,597865,HotShots - SCL2020,3,3,2,2,1.00,1,25.00,8,RHB,0,0,0,0
4161488,Tagore Pasam,597867,Skarp Elva(Sharp Eleven) - SCL2020,1,1,1,1,-,1,100.00,1,-,0,0,0,0
4588366,Mancy Thomas,597863,Simeio Spirits - SCL2020,1,1,1,1,-,1,14.29,7,RHB,0,0,0,0
4199083,Mrinal Thakur,597866,Roaring Lions - SCL2020,3,1,1,1,1.00,0,50.00,2,RHB,0,0,0,0
4165576,Avinash Radhakrishnan,597865,HotShots - SCL2020,3,1,1,1,1.00,0,33.33,3,RHB,0,0,0,0
4105051,Rohit Raj,597867,Skarp Elva(Sharp Eleven) - SCL2020,3,1,1,1,1.00,0,16.67,6,RHB,0,0,0,0
4114197,Shamili Gowda,597867,Skarp Elva(Sharp Eleven) - SCL2020,2,2,1,1,1.00,1,16.67,6,RHB,0,0,0,0
4169989,Sanya Goswami,597865,HotShots - SCL2020,2,2,1,1,0.50,0,14.29,7,RHB,0,0,0,0
4176292,Santhosh S,597859,Simeio Ninjas - SCL2020,3,2,1,1,0.50,0,16.67,6,RHB,0,0,0,0
4174768,Kumar Akash,597867,Skarp Elva(Sharp Eleven) - SCL2020,1,1,0,0,-,0,0.00,4,-,0,0,0,0
4155575,Manisha S Basannavar,597855,DareDevils - SCL2020,1,1,0,0,-,0,0.00,1,RHB,0,0,0,0
4199766,Archana  Mallick,597865,HotShots - SCL2020,1,1,0,0,-,0,0.00,1,RHB,0,0,0,0
4202338,Megha Chinchole,597863,Simeio Spirits - SCL2020,1,1,0,0,-,1,0.00,1,RHB,0,0,0,0
4173319,BHAJAMAN SAMAL,597865,HotShots - SCL2020,1,1,0,0,-,0,0.00,2,RHB,0,0,0,0
4453891,Shreya Biswas,597867,Skarp Elva(Sharp Eleven) - SCL2020,1,1,0,0,-,0,0,0,RHB,0,0,0,0
4466126,Amruta Gawde,597859,Simeio Ninjas - SCL2020,2,1,0,0,-,1,0.00,2,RHB,0,0,0,0
4174358,Srinivas Raju G,597859,Simeio Ninjas - SCL2020,2,1,0,0,-,1,0.00,1,RHB,0,0,0,0
4172073,Marirajan,597867,Skarp Elva(Sharp Eleven) - SCL2020,2,1,0,0,-,1,0,0,RHB,0,0,0,0
4162331,Deepak Singh,597864,TNT - SCL2020,3,1,0,0,-,0,0.00,1,RHB,0,0,0,0
4451056,Vasudha KJ,597859,Simeio Ninjas - SCL2020,2,2,0,0,-,0,0.00,8,RHB,0,0,0,0
4566592,Swathi Shankar,597855,DareDevils - SCL2020,2,2,0,0,-,1,0.00,5,RHB,0,0,0,0
3914700,Adarsh A,597864,TNT - SCL2020,2,2,0,0,-,2,0,0,RHB,0,0,0,0
4105142,Samyajith M,597863,Simeio Spirits - SCL2020,3,2,0,0,-,0,0.00,2,RHB,0,0,0,0
4179803,Nayanava Biswas,597867,Skarp Elva(Sharp Eleven) - SCL2020,1,0,0,0,-,0,0,0,LHB,0,0,0,0
4182851,Pabitra Borah,597855,DareDevils - SCL2020,1,0,0,0,-,0,0,0,-,0,0,0,0
4118218,RAKESH AVVARI,597859,Simeio Ninjas - SCL2020,1,0,0,0,-,0,0,0,RHB,0,0,0,0
4160647,Govardhan G,597869,The Assassinators - SCL2020,1,0,0,0,-,0,0,0,-,0,0,0,0
4161200,Avanish Mishra,597865,HotShots - SCL2020,1,0,0,0,-,0,0,0,-,0,0,0,0
4162356,Venkat Kallam,597869,The Assassinators - SCL2020,1,0,0,0,-,0,0,0,-,0,0,0,0
4203982,Manjunath Kobal,597864,TNT - SCL2020,1,0,0,0,-,0,0,0,RHB,0,0,0,0
4172792,Dileep Kumar Tiwari,597869,The Assassinators - SCL2020,1,0,0,0,-,0,0,0,RHB,0,0,0,0
4104057,Sammedh Upadhye,597855,DareDevils - SCL2020,2,0,0,0,-,0,0,0,-,0,0,0,0
4163956,Ashok Regula,597864,TNT - SCL2020,2,0,0,0,-,0,0,0,-,0,0,0,0
4110590,Rajasekhar Ramamurthy,597863,Simeio Spirits - SCL2020,2,0,0,0,-,0,0,0,RHB,0,0,0,0
4575108,HEMANTH RAJ G B,597855,DareDevils - SCL2020,3,0,0,0,-,0,0,0,RHB,0,0,0,0
4199125,Phani D,597855,DareDevils - SCL2020,3,0,0,0,-,0,0,0,-,0,0,0,0
4173660,Arjula Sundeep,597869,The Assassinators - SCL2020,3,0,0,0,-,0,0,0,RHB,0,0,0,0
